Title,Year,Memory
Call of Duty,2003,128
Call of Duty 2,2005,256
Call of Duty 3,2006
Call of Duty 4: Modern Warfare,2007,512
Call of Duty: World at War,2008,512
Call of Duty: Modern Warfare 2,2009,1000
Call of Duty: Black Ops,2010,2000
Call of Duty: Modern Warfare 3,2011,2000
Call of Duty: Black Ops II,2012,2000
Call of Duty: Ghosts,2013,6000
Call of Duty: Advanced Warfare,2014,6000
Call of Duty: Black Ops III,2015,6000
Call of Duty: Infinite Warfare,2016,8000
Call of Duty: WWII,2017,8000
Call of Duty: Black Ops 4,2018,8000
Call of Duty: Modern Warfare,2019,8000
Call of Duty: Black Ops Cold War,2020,8000
Call of Duty: Vanguard,2021,8000
Call of Duty: Modern Warfare II,2022,8000
